gc,void_index,ra,dec,gal_l,gal_b,z,L,theta_v,inner_valid,ring_valid,masked_frac_inner,masked_frac_ring,max_masked_frac,discarded
NGC,0,250.32849317150055,4.423619087144855,21.117273472604275,30.81985003052388,0.18992760014547894,45.42793790550628,0.05634009092304431,0.38818195481188317,0.6636340852130326,0.6118180451881168,0.3363659147869674,0.6118180451881168,True
NGC,1,139.62725624411934,-4.548190889446627,236.15598669783458,29.66230217020145,0.2219509009365523,42.07202212942701,0.04502386973638669,0.31364865394412006,0.4378484491558696,0.6863513460558799,0.5621515508441304,0.6863513460558799,True
NGC,2,134.9238926392335,-0.675531578638378,229.52736216587363,27.843699647884847,0.1404442802052467,41.354548551428515,0.0684834038983278,0.596772826658079,0.468252621576679,0.40322717334192104,0.531747378423321,0.531747378423321,True
NGC,3,128.84156148266268,-0.34752008627456277,225.7881594749769,22.775544404746707,0.22392335563103288,39.73467460355892,0.04216976315843608,0.7129252917244154,0.5710709815841231,0.28707470827558457,0.42892901841587694,0.42892901841587694,True
NGC,4,248.55532463916262,7.208579154048898,23.015170714725755,33.69954714863374,0.2059731169361241,39.162956021220786,0.04497366481012167,0.6133532439973278,0.6114299190315227,0.3866467560026722,0.38857008096847734,0.38857008096847734,True
NGC,5,201.54791668897994,-0.6611688195858045,321.0741624326313,60.98049253584856,0.12367233451631901,38.5532924269949,0.07219554216277282,0.5911088057606639,0.4537766379678818,0.40889119423933606,0.5462233620321182,0.5462233620321182,True
NGC,6,157.67399323560372,-5.881442577015685,251.79554594567355,42.59606764214177,0.2269515988391942,37.21816295457643,0.03900295342669645,0.45514360313315927,0.5675194893527965,0.5448563968668407,0.4324805106472035,0.5448563968668407,True
NGC,7,240.70906840217788,2.6918410493574805,13.320821776984424,38.17083817399276,0.18115590750746222,37.980852862708105,0.04927303109837939,0.5573523634935184,0.5528117119182524,0.44264763650648165,0.4471882880817476,0.4471882880817476,True
NGC,8,133.46853148253803,-3.797955550887737,231.62833155863734,24.958583167099743,0.11946786957406828,36.92637477365774,0.07150671680405801,0.39608440760725894,0.6816448505035098,0.6039155923927411,0.31835514949649024,0.6039155923927411,True
NGC,9,211.76674083734838,-1.5060918910913905,338.40230474465005,56.06716648341596,0.22696900265165978,36.50677362105406,0.038254690363131776,0.5399902264212413,0.5861018976673373,0.4600097735787587,0.41389810233266267,0.4600097735787587,True
NGC,10,251.73047562215876,6.6672060347752256,24.18562507158758,30.658730650914272,0.1668045619874819,37.1198776664831,0.05210628804369408,0.5658957845433256,0.5632123289678005,0.43410421545667444,0.4367876710321995,0.4367876710321995,True
NGC,11,221.77279798112193,-1.3237903504218491,351.97076540546715,50.20243272645002,0.16243890364959254,37.59403847283801,0.054129477191646756,0.5752109160947292,0.5676857080799305,0.4247890839052708,0.43231429192006954,0.43231429192006954,True
NGC,12,203.41942347120028,0.9435472844760117,325.8434592998074,61.92169366307838,0.1909672299161141,36.09150072469608,0.04452928167456042,0.7769135158975181,0.5319191595155986,0.22308648410248189,0.46808084048440135,0.46808084048440135,True
NGC,13,164.25190620705885,0.45907497455410584,252.32398476375428,51.717576050877646,0.20457710282137936,36.77341832172498,0.04250229607070993,0.7935251165654966,0.541734572523455,0.20647488343450338,0.458265427476545,0.458265427476545,True
NGC,14,178.21446747465183,-0.6446768512422341,273.66698924922514,58.857987976953254,0.21418729595263117,36.51143439856859,0.04040726174407665,0.6788374470571052,0.5747759158222915,0.32116255294289475,0.4252240841777085,0.4252240841777085,True
NGC,15,190.59427273251606,-4.876569388902281,298.6794302772984,57.920345134322176,0.21517943067086528,36.173888275639285,0.03985945065962816,0.28817118288171184,0.3695195195195195,0.7118288171182882,0.6304804804804804,0.7118288171182882,True
NGC,16,229.8599722509192,3.266587775483364,5.426071147363692,47.35788854252509,0.20006628344382682,35.3424103110028,0.04172033488187769,0.45182648401826486,0.5170602475677157,0.5481735159817351,0.48293975243228426,0.5481735159817351,True
NGC,17,254.9155614920973,7.959284522185685,27.16343013313108,28.436004507280142,0.16306126427997952,36.8346367631025,0.052842065218846254,0.6805318300876894,0.5567864669362648,0.31946816991231064,0.44321353306373523,0.44321353306373523,True
NGC,18,225.41389035761583,-0.27198051664773604,357.0986976375042,48.41577694079154,0.1911561915243405,34.52221387749148,0.042553087698475225,0.7580227402432065,0.5460254721124287,0.24197725975679352,0.4539745278875713,0.4539745278875713,True
NGC,19,255.13164655215417,8.071557761611338,27.386314517622516,28.29484634252028,0.1986114830996753,35.303334267721254,0.04196359730742644,0.7765587611178835,0.5425022583559169,0.22344123888211653,0.4574977416440831,0.4574977416440831,True
NGC,20,223.87233576515175,36.21721551951891,59.79569983180493,62.22734995212458,0.20958780446955594,35.93147854952727,0.040589314790826767,1.0,1.0,0.0,0.0,0.0,False
NGC,21,238.421030240278,9.06949196589966,18.994968183705836,43.40934800235815,0.20597120451284665,34.045999632654535,0.039097835989238376,0.8416675330075891,0.6446513079203287,0.15833246699241088,0.35534869207967135,0.35534869207967135,True
NGC,22,231.7935320120285,5.466579087628152,9.718037040525045,47.103591781609836,0.20022357819955122,36.01789782471468,0.04248606280804257,0.3726552179656539,0.5406190832636167,0.6273447820343461,0.45938091673638326,0.6273447820343461,True
NGC,23,244.40316594086102,3.5859465080486443,16.7114334302574,35.51636678905407,0.12604967439682144,36.230438469443634,0.0666061155877422,0.4833715596330275,0.6593725898157947,0.5166284403669725,0.3406274101842053,0.5166284403669725,True
NGC,24,207.17637374106525,6.880969619771909,339.41261803885266,65.61147080231498,0.18957690248591247,35.854281769632145,0.04454497042825293,0.5877994071937835,0.6126989217140337,0.41220059280621646,0.38730107828596627,0.41220059280621646,True
NGC,25,212.61859036187914,1.7622869808349726,343.0117436708346,58.34398190545557,0.20916241505409805,34.271697089843556,0.038788812355584755,0.681467793030623,0.6786866176703854,0.318532206969377,0.3213133823296146,0.3213133823296146,True
NGC,26,234.59993273531373,5.542174530443845,12.057818429138266,44.83073580575152,0.15951132426443268,34.02695434748067,0.04985521423856767,0.4081169246514008,0.5940758748640522,0.5918830753485992,0.4059241251359478,0.5918830753485992,True
NGC,27,172.6423182642129,-5.846786101879547,269.27537327217055,51.66156744530355,0.21300295875781133,34.14533753441061,0.03798705570389522,0.4541446208112875,0.5696425620972627,0.5458553791887125,0.4303574379027373,0.5458553791887125,True
NGC,28,172.8274474996118,0.6679232884632144,263.5992366692223,57.2886346280487,0.1619842878860296,35.58891004804973,0.05138023786054314,0.7412894871563225,0.478822749728883,0.2587105128436775,0.5211772502711169,0.5211772502711169,True
NGC,29,271.59461281876105,34.42258489857885,60.902908409858284,23.651658763036888,0.22092555819944493,36.17187276284679,0.03887897290603437,0.9995794785534062,0.9944765912677538,0.000420521446593769,0.0055234087322462155,0.0055234087322462155,False
NGC,30,230.76033502211484,34.90712544101929,55.96904744536674,56.80913315323197,0.2176103720918481,34.190447213082784,0.037276752744491666,1.0,1.0,0.0,0.0,0.0,False
NGC,31,205.2484748295845,-0.7959668019730403,328.0453951347595,59.63754114708221,0.19534989674285883,35.46720730177946,0.042825966468081386,0.6882886007891428,0.5209967497291441,0.3117113992108572,0.4790032502708559,0.4790032502708559,True
NGC,32,221.95192740995958,0.7575923960782587,354.43700374985116,51.59737176080223,0.2253925546951414,34.28683846748588,0.036164795201834146,0.8517528403912753,0.6325004559547693,0.1482471596087247,0.36749954404523066,0.36749954404523066,True
NGC,33,142.49694336971544,-3.841925809063671,237.41336069623452,32.40628349764565,0.21830753700733485,34.34597516657269,0.037333545546520075,0.3250242427699504,0.28898768809849523,0.6749757572300497,0.7110123119015048,0.7110123119015048,True
NGC,34,159.9211734228236,-0.35078319601721875,248.4524107065097,48.08379640399861,0.16853187186641913,34.95353454048707,0.04858400750467909,0.6670597351841245,0.5279488473834764,0.33294026481587546,0.47205115261652364,0.47205115261652364,True
NGC,35,247.1725347293749,4.821392145004953,19.70329275280007,33.75675767690436,0.19283595060654396,35.0661348337782,0.04286569832625287,0.33271367428991394,0.5029239766081871,0.6672863257100861,0.4970760233918129,0.6672863257100861,True
NGC,36,250.84951173120444,3.4408061545095054,20.418825004921764,29.88558400087315,0.16815286891286665,35.226362503467,0.049068812091075956,0.4488313746203618,0.5651714342339962,0.5511686253796382,0.4348285657660038,0.5511686253796382,True
NGC,37,137.75623264952398,0.12159665594731238,230.45582435145906,30.672371221384708,0.17790621854371658,33.76232662200679,0.044562951978873944,0.7451780712284914,0.5269002565747274,0.25482192877150855,0.4730997434252726,0.4730997434252726,True
NGC,38,190.56016944235384,-4.999357844172752,298.6310833091554,57.79556602853326,0.2256781761525224,35.35835832418364,0.03725059852854456,0.29230152365677625,0.3585867262211533,0.7076984763432237,0.6414132737788467,0.7076984763432237,True
NGC,39,219.93243379416316,40.46348971994905,70.73898513756544,64.00647530202465,0.11852104530892477,32.7886305973368,0.0639860817843704,0.9881144277640753,0.9938810000194254,0.01188557223592468,0.006118999980574635,0.01188557223592468,False
NGC,40,199.81941704097204,1.8956336865227148,318.9111489045832,63.900300234662275,0.16737085008217253,33.769717977733016,0.04725005656484612,0.6557371212930329,0.5977633734596481,0.34426287870696715,0.40223662654035186,0.40223662654035186,True
NGC,41,201.75678144204164,-2.9874376764168002,320.2196463175449,58.684638253732395,0.2053638195255142,33.16419806147151,0.038191784667843405,0.3169190543632204,0.45514497492914757,0.6830809456367797,0.5448550250708524,0.6830809456367797,True
NGC,42,158.79534780043,-0.17984479343299703,247.12339969358985,47.37833898162883,0.20416566798412158,33.86618327191069,0.03921682460366467,0.7455034112052925,0.583324712940933,0.2544965887947075,0.416675287059067,0.416675287059067,True
NGC,43,208.22906968811603,-0.06510452654718875,333.95606026152916,59.05262986817099,0.2240032653690624,34.071751165484194,0.036147653544651784,0.8405329763932831,0.6009729401033749,0.15946702360671694,0.3990270598966251,0.3990270598966251,True
NGC,44,132.15920018520035,-3.0259204203960897,230.1465126604672,24.25907005611563,0.1953582537428224,33.708663156600245,0.04070090542042548,0.33154130466087456,0.4294007580482656,0.6684586953391254,0.5705992419517344,0.6684586953391254,True
NGC,45,129.9199139031564,0.9176456430135331,225.1716728110363,24.33890459366829,0.18250652566883294,32.937053453100916,0.04242822484527442,0.8227266704941925,0.5055837563451777,0.17727332950580754,0.4944162436548223,0.4944162436548223,True
NGC,46,209.96123004336704,3.8260912938389127,340.93856143796626,61.54209910198872,0.22442136989320582,33.67999507108527,0.03566936516893856,0.37353988381535386,0.42126968257935515,0.6264601161846461,0.5787303174206448,0.6264601161846461,True
NGC,47,137.86535765756616,-0.6347106363205711,231.26661275777815,30.362456059740598,0.18867629502682656,32.70946269391,0.0408223321791082,0.6757169442191153,0.546182823899671,0.3242830557808847,0.453817176100329,0.453817176100329,True
NGC,48,146.1373957362332,-5.103987142875376,241.23670492191914,34.55070252082517,0.183245378204487,32.004876711093004,0.0410690439483904,0.358179419525066,0.4776379659738913,0.641820580474934,0.5223620340261087,0.641820580474934,True
NGC,49,270.10653724564565,34.18581829457364,60.252802397290694,24.754137980978403,0.19611166097050564,32.304711866883025,0.03886348446729686,0.999736814401516,0.9913167035048942,0.0002631855984840392,0.008683296495105797,0.008683296495105797,False
NGC,50,214.15014177919448,0.07181382049978635,343.52442485810934,56.08000736353138,0.21953271069483088,33.58664972880403,0.03631607012572953,0.8453844299831285,0.6184329573556909,0.15461557001687154,0.3815670426443091,0.3815670426443091,True
NGC,51,225.37411156132376,34.48258006245025,55.80551208117013,61.25662028821854,0.18454160426831762,32.823235946721596,0.04183735155608414,1.0,0.9901831568422488,0.0,0.00981684315775122,0.00981684315775122,False
NGC,52,174.8349863181588,-0.35987339529926565,267.7663753114313,57.5041772152704,0.19732249573335306,31.5169500703584,0.0376949671350876,0.7226726306961141,0.5825074192284002,0.2773273693038859,0.4174925807715998,0.4174925807715998,True
NGC,53,234.04946031247766,3.6732649409697484,9.457066128973446,44.23318654799338,0.19539678778381653,32.20475351883522,0.03887775703034375,0.38398065906343615,0.4700431715278509,0.6160193409365639,0.5299568284721491,0.6160193409365639,True
NGC,54,138.89598604089423,-0.2991046112306998,231.58050275539716,31.412310753973244,0.12116173075174833,32.98678829936872,0.06301169275979086,0.6272224891878905,0.4867783164389599,0.3727775108121095,0.5132216835610401,0.5132216835610401,True
NGC,55,209.02625300945482,6.528193981319852,342.570588093445,64.3021205144668,0.22831782046115817,31.905521485994353,0.033247390644338265,0.46116260688366745,0.6400834172299726,0.5388373931163326,0.35991658277002736,0.5388373931163326,True
NGC,56,154.85035897941725,-4.619605313092014,247.93255582089319,41.47016619641233,0.1519115908829299,32.025924560529106,0.04917514716102466,0.344519309778143,0.4994739610731194,0.6554806902218571,0.5005260389268806,0.6554806902218571,True
NGC,57,241.70813287774342,5.220911744296699,16.73344637155919,38.661630451016684,0.21708137584281934,32.37514596079353,0.03537871306423075,0.317059234334328,0.44856071678210585,0.6829407656656721,0.5514392832178941,0.6829407656656721,True
NGC,58,198.4906264794844,4.80134147212409,317.4461840475852,67.03620343536274,0.19650474442769097,32.82677009248029,0.03941655177351214,0.3288827501534684,0.4803766054341708,0.6711172498465316,0.5196233945658292,0.6711172498465316,True
NGC,59,269.65699329082724,29.78693183325505,55.5334413534775,23.761666155286555,0.18783098983330623,31.663509424985595,0.039686106017588534,0.932670468884066,0.9260007066781081,0.06732953111593398,0.07399929332189192,0.07399929332189192,False
NGC,60,215.8604519919798,38.2416222042527,68.71757811491861,67.7704667864889,0.22657344580322406,31.409107704756156,0.032966991109421355,1.0,1.0,0.0,0.0,0.0,False
NGC,61,196.49267873006545,1.298002467909769,311.2220597725909,63.93558011037434,0.15620873990858594,31.46526004581064,0.0470368080876728,0.7188892082195718,0.5796549245147375,0.2811107917804282,0.42034507548526245,0.42034507548526245,True
NGC,62,200.35848512054227,1.3782530137719644,319.79064688875036,63.26394790189637,0.20699264991642347,31.59384016559663,0.036112386765171034,0.7602242945084415,0.6268747713693452,0.23977570549155847,0.3731252286306548,0.3731252286306548,True
NGC,63,231.06807561383414,6.093254052013634,9.87382366306622,48.05365634693728,0.21796774441337044,30.873562655824948,0.033608418558543074,0.42447055512558923,0.5473795286669012,0.5755294448744108,0.4526204713330988,0.5755294448744108,True
NGC,64,140.90614121028142,-5.085834600984864,237.51279197971954,30.392499015056742,0.18456193957143355,30.779396346268125,0.03922810421537366,0.34663083918974785,0.45052164032641256,0.6533691608102521,0.5494783596735875,0.6533691608102521,True
NGC,65,248.3590763535044,5.6248205966993785,21.23500234766269,33.118027778178785,0.12832551686382304,31.634252249610377,0.057157939071957216,0.45503649635036497,0.6265825866770549,0.544963503649635,0.3734174133229451,0.544963503649635,True
NGC,66,145.65298279156283,-6.064384843389099,241.78677955379348,33.57748479370612,0.22852201060010688,31.41559250983745,0.03270935984719656,0.4337913108057928,0.5922128102244019,0.5662086891942072,0.40778718977559814,0.5662086891942072,True
NGC,67,217.01961888730253,36.58703281155572,63.79635386551666,67.48916743590179,0.14196363775196558,31.029813232921025,0.05085526638174306,1.0,1.0,0.0,0.0,0.0,False
NGC,68,254.8229484682521,12.149098485233798,31.456552518348616,30.326080898897256,0.1389804942498654,31.70738807586932,0.05304095096136602,0.4175001412668814,0.49519421043704415,0.5824998587331186,0.5048057895629559,0.5824998587331186,True
NGC,69,207.89411457992856,0.7437127602177139,334.1024873470085,59.924896348323635,0.21283758988849924,31.053377824426725,0.03457256896503098,0.8541403392085135,0.6511674316503692,0.1458596607914865,0.34883256834963083,0.34883256834963083,True
NGC,70,207.71665365517165,5.585457584312396,338.8714376113162,64.22791975873247,0.2129061331668274,31.939786255317838,0.035548618988504234,0.3717053532112977,0.4734855633138328,0.6282946467887023,0.5265144366861672,0.6282946467887023,True
NGC,71,219.78175521771462,-1.6429601992877576,349.2712959644692,51.272730989440795,0.17135456101391636,31.056148575462213,0.04248655883786523,0.5149260302923565,0.607001321003963,0.4850739697076435,0.392998678996037,0.4850739697076435,True
NGC,72,251.5863407150723,5.934255123028716,23.355492553114544,30.44269208628772,0.20687996951141646,31.452037648966535,0.035968831750558594,0.40603120009826804,0.5004917025199754,0.593968799901732,0.49950829748002457,0.593968799901732,True
NGC,73,205.75095406984653,2.867248459106253,332.0882167136263,62.78272840498169,0.20893877507400144,31.67642861040214,0.035887756645763796,0.49950617283950616,0.566886844866967,0.5004938271604938,0.43311315513303295,0.5004938271604938,True
NGC,74,231.877655709669,2.7463189717969847,6.600359397200319,45.44086921492238,0.18120994473041785,30.50173896682283,0.039559035876322604,0.5337734890807516,0.5794392523364486,0.4662265109192484,0.42056074766355145,0.4662265109192484,True
NGC,75,266.6133688805956,26.617643817448666,51.282234862444604,25.270631525994393,0.21049207252286511,32.12363084119133,0.03614048586874981,0.9506909356547149,0.9677007299270073,0.04930906434528515,0.032299270072992714,0.04930906434528515,False
NGC,76,133.11681819366623,1.4571655744346512,226.41629651040677,27.380769725349168,0.2278813905613915,33.510346994749476,0.034982579429791646,0.8143311895017216,0.6172382436996623,0.18566881049827844,0.3827617563003377,0.3827617563003377,True
NGC,77,196.69161859674696,-3.324647644079793,310.4463672789708,59.32326935794269,0.17010681569772282,31.815840654398638,0.04383104513249713,0.3110338835794961,0.41932814827072645,0.6889661164205039,0.5806718517292735,0.6889661164205039,True
NGC,78,235.77655511063202,4.450463690735609,11.69193890635296,43.25068171572289,0.18587730471598968,31.106168989515563,0.03937741723011507,0.3127818778187782,0.4516277877467316,0.6872181221812218,0.5483722122532684,0.6872181221812218,True
NGC,79,238.4035903064001,4.090753516434367,13.222801832891276,40.86297539736887,0.16933761071789954,31.74155612766546,0.04391865159901347,0.33912971814735454,0.5191919191919192,0.6608702818526455,0.4808080808080808,0.6608702818526455,True
NGC,80,173.4225876170191,-2.357561799579372,267.43853332907497,55.06466317401611,0.15835586023038642,31.78607500220763,0.046897894855545054,0.43735771329454703,0.5403529071449233,0.562642286705453,0.45964709285507666,0.562642286705453,True
NGC,81,228.5252112385192,0.22780316502144687,0.7496689522244779,46.457398658766095,0.18804350361255012,31.13468773374863,0.03898134515284955,0.8054712836070719,0.5897985874967303,0.19452871639292812,0.4102014125032697,0.4102014125032697,True
NGC,82,154.04798927077647,-4.893222767869835,247.47789395971967,40.69763899608236,0.19333200551905844,31.57679153467557,0.03850615754347001,0.33647815599035114,0.4430922639789846,0.6635218440096489,0.5569077360210154,0.6635218440096489,True
NGC,83,258.71950331500864,8.694079541126428,29.771369692962942,25.38633061978011,0.22278878849728098,28.030164189522136,0.029890556070661406,0.9150507027219356,0.7101165584126702,0.08494929727806444,0.2898834415873298,0.2898834415873298,False
NGC,84,207.59984597476725,0.4979805058388593,333.3573188852975,59.840255532787396,0.15632874759869284,30.64373763744344,0.045774975413522205,0.7899048124691873,0.48865533464865685,0.2100951875308127,0.5113446653513432,0.5113446653513432,True
NGC,85,253.4556012295848,9.523935100868558,28.040454066908236,30.42268142044838,0.20312554609484987,32.06803479019105,0.03731462617147619,0.8158766419189035,0.6837002395346184,0.18412335808109648,0.31629976046538155,0.31629976046538155,True
NGC,86,178.01010599779556,-1.9811769513280688,274.4082288049819,57.56355575948475,0.20042276498405323,31.717971741653542,0.03737870285474523,0.3894167852062589,0.6233721922092693,0.6105832147937411,0.3766278077907307,0.6105832147937411,True
NGC,87,164.58331869789737,-3.9826977683873994,257.3093588263532,48.610008887713185,0.16103677593720078,31.71315416789364,0.046042957101326026,0.2989087636404545,0.4272590926134233,0.7010912363595455,0.5727409073865767,0.7010912363595455,True
NGC,88,249.46559886712487,8.01651100739237,24.374823674027272,33.27416828148666,0.19680552731996107,32.63964138860388,0.03913502610630965,0.7918937152939955,0.5489127614302766,0.20810628470600445,0.45108723856972344,0.45108723856972344,True
NGC,89,261.2304530286626,20.868456217987926,43.36810466574569,27.966696339445743,0.21958420389578592,31.310923015845642,0.0338479241745883,0.9318386895259249,0.9706657420249654,0.06816131047407514,0.02933425797503464,0.06816131047407514,False
NGC,90,162.14749904708927,-6.856619557859491,257.26944781112275,44.84999645333394,0.18870724598878275,31.184882461643202,0.03891354270156224,0.5840856602981315,0.6926227356261486,0.41591433970186853,0.3073772643738514,0.41591433970186853,True
NGC,91,243.34159548879384,6.202090010935073,18.855272381573034,37.75339946846573,0.17201355267048543,29.664428558679475,0.04043398431776662,0.4709570796675254,0.5371334079081757,0.5290429203324746,0.46286659209182435,0.5290429203324746,True
