z,JWST_SMD,LCDM_SMD,Render_SMD,diff_JWST_LCDM
7.0,7.36,7.15,6.27,0.21
8.0,6.92,6.6,6.15,0.32
9.0,6.62,6.2,6.05,0.42
10.5,6.2,5.5,5.91,0.70
12.5,5.68,4.8,5.76,0.88
